STT,Chức năng,Script test,Function,Testcase ID,Test Objective,Input,Expected Output,Notes,Kết quả,Minh chứng
1,RoleService,services/user-service/src/test/java/com/example/user_service/service/RoleServiceTest.java,create(),RLB-TC01,"Tạo role mới và gán đúng permission","name=ORG_MANAGER, permissionIds=[read,manage], isActive=null","Role được lưu; isActive mặc định true; permission gán đúng","CheckDB bằng count() và findById(); rollback bằng @Transactional",,
2,RoleService,services/user-service/src/test/java/com/example/user_service/service/RoleServiceTest.java,create(),RLB-TC02,"Lưu đúng trạng thái isActive khi DTO truyền false","isActive=false","Role lưu với isActive=false","Xác minh nhánh isActive != null",,
3,RoleService,services/user-service/src/test/java/com/example/user_service/service/RoleServiceTest.java,update(),RLB-TC03,"Cập nhật thông tin role và permission","id tồn tại; name/description/isActive/permissionIds mới","DB cập nhật đúng name/description/isActive và permission mới","CheckDB bằng findById() sau update",,
4,RoleService,services/user-service/src/test/java/com/example/user_service/service/RoleServiceTest.java,update(),RLB-TC04,"Giữ nguyên permission khi permissionIds=null","id tồn tại; permissionIds=null","Permission cũ vẫn được giữ nguyên","Nhánh if(permissionIds != null)",,
5,RoleService,services/user-service/src/test/java/com/example/user_service/service/RoleServiceTest.java,delete(),RLB-TC05,"Xóa role khỏi DB","id tồn tại","Record role bị xóa; count giảm 1","CheckDB bằng existsById() và count()",,
6,RoleService,services/user-service/src/test/java/com/example/user_service/service/RoleServiceTest.java,getById(),RLB-TC06,"Trả về role theo id tồn tại và null khi id thiếu","id hợp lệ và id không tồn tại","id hợp lệ -> Role; id thiếu -> null","Theo hành vi hiện tại của service",,
7,RoleService,services/user-service/src/test/java/com/example/user_service/service/RoleServiceTest.java,getAllWithFilters(),RLB-TC07,"Trả về metadata + danh sách role theo filter","isActive=true, keyword=filter_active","Meta đúng; total=1; danh sách đúng bản ghi","Kiểm tra phân trang + filter",,
8,RoleService,services/user-service/src/test/java/com/example/user_service/service/RoleServiceTest.java,existsByName(),RLB-TC08,"Kiểm tra tồn tại role theo tên","name tồn tại và name không tồn tại","true với tên tồn tại; false với tên không tồn tại","Kiểm tra logic tồn tại",,
9,RoleService,services/user-service/src/test/java/com/example/user_service/service/RoleServiceTest.java,getByIds(),RLB-TC09,"Lấy danh sách role theo ids","list id gồm 2 role","Danh sách đúng 2 bản ghi mong muốn","Kiểm tra đọc dữ liệu theo ids",,
10,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,create(),PER-TC01,"Tự chuẩn hóa active=true khi tạo permission","permission.active=false","Permission lưu với active=true","Nhánh chuẩn hóa dữ liệu create",,
11,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,update(),PER-TC02,"Cập nhật permission khi id tồn tại","id tồn tại; name/active mới","Permission được cập nhật đúng","CheckDB bằng findById()",,
12,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,update(),PER-TC03,"Trả null khi update id không tồn tại","id=999999","null","Theo hành vi hiện tại của service",,
13,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,check(),PER-TC04,"Trả false khi userId null","userId=null","false","Guard clause đầu hàm",,
14,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,check(),PER-TC05,"Trả false khi user không tồn tại","userId không có trong DB","false","Nhánh user not found",,
15,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,check(),PER-TC06,"Trả false khi user không có role","user.role=null","false","Nhánh role null",,
16,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,check(),PER-TC07,"Trả true khi role có permission active phù hợp","user.role có permission name khớp và active=true","true","RBAC core check theo role + permission",,
17,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,check(),PER-TC08,"Trả false khi permission không active","permission name khớp nhưng active=false","false","Query check dùng điều kiện active=true",,
18,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,getAllWithFilters(),PER-TC09,"Trả metadata và danh sách permission theo filter","isActive=true, keyword=departments:read","Meta đúng; total=1; danh sách đúng","Kiểm tra phân trang + filter",,
19,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,getAllWithFiltersNoPage(),PER-TC10,"Trả danh sách permission đã lọc không phân trang","isActive=true, keyword=candidates:manage","Danh sách đúng 1 bản ghi","Kiểm tra nhánh no-page",,
20,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,findByIds(),PER-TC11,"Trả đúng danh sách permission theo ids","list id gồm 2 permission","Danh sách đúng 2 bản ghi mong muốn","Kiểm tra đọc dữ liệu theo ids",,
21,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,delete(),PER-TC12,"Xóa permission và gỡ liên kết với role","permission đang gắn với role","Permission bị xóa; role không còn chứa permission đó","CheckDB quan hệ many-to-many",,
22,PermissionService,services/user-service/src/test/java/com/example/user_service/service/PermissionServiceTest.java,evictCacheForRole(),PER-TC13,"Xóa cache permCheck khi cập nhật quyền","cache có key 123:user-service:users:read","Cache key bị xóa sau khi gọi evict","Kiểm tra đồng bộ cache quyền",,
23,PermissionInterceptor,services/user-service/src/test/java/com/example/user_service/config/PermissionInterceptorTest.java,preHandle(),PIC-TC01,"Bỏ qua CORS preflight","HTTP OPTIONS","Trả true; không gọi permissionService.check","Nhánh skip preflight",,
24,PermissionInterceptor,services/user-service/src/test/java/com/example/user_service/config/PermissionInterceptorTest.java,preHandle(),PIC-TC02,"Map GET request thành action read","GET /api/v1/user-service/roles","Gọi check(user-service:roles:read, userId) và cho qua khi true","Kiểm tra map method GET",,
25,PermissionInterceptor,services/user-service/src/test/java/com/example/user_service/config/PermissionInterceptorTest.java,preHandle(),PIC-TC03,"Map POST request thành action manage","POST /api/v1/user-service/permissions","Gọi check(user-service:permissions:manage, userId) và cho qua khi true","Kiểm tra map method POST",,
26,PermissionInterceptor,services/user-service/src/test/java/com/example/user_service/config/PermissionInterceptorTest.java,preHandle(),PIC-TC04,"Map special action thành manage","GET /api/v1/workflow-service/approval-trackings/{id}/approve","Gọi check(workflow-service:approval-trackings:manage, userId)","Nhánh special action",,
27,PermissionInterceptor,services/user-service/src/test/java/com/example/user_service/config/PermissionInterceptorTest.java,preHandle(),PIC-TC05,"Từ chối truy cập khi không có quyền","DELETE /api/v1/user-service/roles/{id}; check=false","Ném AccessDeniedException","Nhánh deny",,
28,PermissionInterceptor,services/user-service/src/test/java/com/example/user_service/config/PermissionInterceptorTest.java,preHandle(),PIC-TC06,"Tái dùng kết quả check trong cùng request","Gọi preHandle 2 lần với cùng request","permissionService.check chỉ được gọi 1 lần","Kiểm tra request-scope memoization",,
