STT,Đường dẫn file,File/Class,Function,Test/Không test,Lí do
1,services/user-service/src/main/java/com/example/user_service/service/RoleService.java,RoleService,"create(), update(), delete(), getById(), getAllWithFilters(), existsByName(), getByIds()",Test,"Chứa logic RBAC cho vai trò: tạo/cập nhật role, gán permission, lọc role và kiểm tra tồn tại tên role."
2,services/user-service/src/main/java/com/example/user_service/service/PermissionService.java,PermissionService,"create(), update(), check(), delete(), findByIds(), getAllWithFilters(), getAllWithFiltersNoPage(), evictCacheForRole()",Test,"Chứa logic kiểm tra quyền theo user-role-permission và xử lý cache permission check."
3,services/user-service/src/main/java/com/example/user_service/config/PermissionInterceptor.java,PermissionInterceptor,"preHandle() và logic map endpoint -> permission name",Test,"Chứa logic chặn truy cập và chuẩn hóa quyền theo HTTP method, special action và request-scope memoization."
4,services/user-service/src/main/java/com/example/user_service/controller/RoleController.java,RoleController,Các API role,Không test,"Thuộc phạm vi test API/integration vì phụ thuộc request/response HTTP và validation."
5,services/user-service/src/main/java/com/example/user_service/controller/PermissionController.java,PermissionController,Các API permission,Không test,"Thuộc phạm vi test API/integration vì phụ thuộc request/response HTTP và validation."
6,services/user-service/src/main/java/com/example/user_service/controller/AuthController.java,AuthController,checkPermission(),Không test,"Được kiểm thử gián tiếp qua PermissionService và PermissionInterceptor ở tầng nghiệp vụ."
7,services/user-service/src/main/java/com/example/user_service/repository/RoleRepository.java,RoleRepository,Các hàm query DB,Không test,"Kế thừa Spring Data JPA; được kiểm thử gián tiếp thông qua Service."
8,services/user-service/src/main/java/com/example/user_service/repository/PermissionRepository.java,PermissionRepository,Các hàm query DB,Không test,"Kế thừa Spring Data JPA; được kiểm thử gián tiếp thông qua Service."
9,services/user-service/src/main/java/com/example/user_service/model/Role.java; services/user-service/src/main/java/com/example/user_service/model/Permission.java,Entities,Getter/Setter,Không test,"Là lớp dữ liệu JPA, không có logic rẽ nhánh nghiệp vụ cần unit test riêng."
10,services/user-service/src/main/java/com/example/user_service/dto/role/CreateRoleDTO.java,CreateRoleDTO,Getter/Setter,Không test,"Là DTO truyền dữ liệu, không chứa logic nghiệp vụ."
