STT,Chức năng,Script test,Function,Testcase ID,Test Objective,Input,Expected Output,Notes,Kết quả,Minh chứng
1,Tạo mới người dùng và lưu dữ liệu,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,create(),US-TC01,"Tạo user mới và lưu đúng dữ liệu vào DB","email=staff@company.com, password=123456, roleId=existingRoleId, employeeId=existingEmployeeId","Tăng số record trong DB lên 1; user được lưu đúng email/password/role/employee; employee.user được gán","CheckDB bằng count() và findById(); rollback bằng @Transactional",,
2,Ném lỗi khi vai trò không tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,create(),US-TC02,"Ném lỗi khi role không tồn tại","roleId=999, employeeId=existingEmployeeId","CustomException: Vai trò không tồn tại; DB không đổi","Kiểm tra không gọi save và rollback tự động",,
3,Ném lỗi khi nhân viên không tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,create(),US-TC03,"Ném lỗi khi employee không tồn tại","roleId=existingRoleId, employeeId=999","CustomException: Nhân viên không tồn tại; DB không đổi","Kiểm tra trạng thái DB trước/sau test",,
4,Ném lỗi khi nhân viên đã có tài khoản,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,create(),US-TC04,"Ném lỗi khi employee đã có tài khoản","employee.user != null","CustomException: Nhân viên đã có tài khoản; DB không đổi","Nhánh kiểm tra trùng tài khoản",,
5,Cập nhật người dùng hợp lệ,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC05,"Cập nhật đúng các trường hợp lệ của user","id tồn tại; email/password/roleId/employeeId/isActive mới","DB cập nhật đúng email/password/role/employee/isActive","CheckDB bằng findById() sau update",,
6,Ném lỗi khi người dùng không tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC06,"Ném lỗi khi user không tồn tại","id=40404","RuntimeException: User not found; DB không đổi","Nhánh lỗi từ getById()",,
7,Ném lỗi khi vai trò cập nhật không tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC07,"Ném lỗi khi role cập nhật không tồn tại","roleId=555","CustomException: Vai trò không tồn tại; DB không đổi","Kiểm tra rollback sau exception",,
8,Ném lỗi khi nhân viên cập nhật không tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC08,"Ném lỗi khi employee cập nhật không tồn tại","employeeId=888","CustomException: Nhân viên không tồn tại; DB không đổi","Nhánh lỗi validate employee",,
9,Ném lỗi khi nhân viên cập nhật đã có tài khoản,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(),US-TC09,"Ném lỗi khi employee cập nhật đã có tài khoản","employee.user != null","CustomException: Nhân viên đã có tài khoản; DB không đổi","Nhánh kiểm tra xung đột tài khoản",,
10,Trả về người dùng khi id tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,getById(),US-TC10,"Trả về đúng user khi id tồn tại","id hợp lệ","User đúng id/email/role được trả về","Chỉ kiểm tra đọc dữ liệu",,
11,Ném lỗi khi id người dùng không tồn tại,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,getById(),US-TC11,"Ném lỗi khi id không tồn tại","id=40404","RuntimeException: User not found","Không trả về null",,
12,Xóa người dùng khỏi cơ sở dữ liệu,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,delete(),US-TC12,"Xóa user khỏi DB","id tồn tại","Record bị xóa khỏi DB; existsById=false","CheckDB bằng existsById() và count(); rollback tự động",,
13,Trả về danh sách người dùng phân trang,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,getAll(),US-TC13,"Trả về metadata và danh sách user","PageRequest.of(0,10)","Meta.page=1; Meta.pageSize=10; result không rỗng","Kiểm tra phân trang",,
14,Lưu refresh token cho người dùng,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,updateUserRefreshToken(),US-TC14,"Lưu refresh token cho user hiện có","email tồn tại, token mới","refreshToken trong DB được cập nhật đúng","CheckDB bằng findById() sau khi gọi service",,
15,Tìm người dùng theo email,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,handleGetUserByUsername(),US-TC15,"Tìm user theo email và trả về đúng bản ghi","email=lookup@company.com","User không null; email trả về đúng lookup@company.com","CheckDB bằng truy vấn theo email; không thay đổi dữ liệu; rollback tự động",,
16,Cập nhật người dùng trực tiếp,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,update(User),US-TC16,"update(User) lưu entity User khi gọi trực tiếp","entity user với field thay đổi","Dữ liệu persist xuống DB; email/password được cập nhật đúng","CheckDB bằng findById() sau update; forceSyncPersistenceContext",,
17,Trả về UserDTO với thông tin chính,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,getByIdAsDTO(),US-TC17,"Trả về UserDTO chứa thông tin chính","id hợp lệ","UserDTO không null; id/email/roleId trả về đúng","Kiểm tra DTO mapping",,
18,Tìm người dùng theo refresh token và email,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,getUserByRefreshTokenAndEmail(),US-TC18,"Tìm user theo token và email khớp","token và email khớp","User không null; id khớp","Kiểm tra query refresh token",,
19,Lấy danh sách người dùng theo danh sách id,services/user-service/src/test/java/com/example/user_service/service/UserServiceTest.java,getByIds(),US-TC19,"Trả về danh sách UserDTO tương ứng với id list","list id gồm 2 user","Danh sách đúng 2 bản ghi; id match","CheckDB bằng findByIdIn",,
