STT,Đường dẫn file,File/Class,Function,Test/Không test,Lí do
1,services/user-service/src/main/java/com/example/user_service/service/DepartmentService.java,DepartmentService,"create(), update(), delete(), getById(), getAll(), getAllWithFilters(), getByIds()",Test,"Chứa nghiệp vụ quản lý phòng ban: tạo mới, cập nhật, xóa, lấy theo id, phân trang, lọc và lấy danh sách theo ids; có nhánh lỗi và kiểm tra trùng mã."
2,services/user-service/src/main/java/com/example/user_service/service/PositionService.java,PositionService,"create(), update(), delete(), getById(), getAll(), getAllWithFilters(), getByIds()",Test,"Chứa nghiệp vụ quản lý vị trí: tạo, cập nhật, xóa, tra cứu, phân trang, lọc và lấy danh sách theo ids."
3,services/user-service/src/main/java/com/example/user_service/service/EmployeeService.java,EmployeeService,"create(), update(), delete(), getById(), getAll(), getAllWithFilters(), getByIds(), getByDepartmentIds(), uploadAvatar(), createFromCandidate()",Test,"Chứa nghiệp vụ quản lý nhân viên và mapping dữ liệu liên quan phòng ban/vị trí/candidate; có nhiều nhánh if/else, query DB và xử lý lỗi nghiệp vụ."
4,services/user-service/src/main/java/com/example/user_service/controller/DepartmentController.java,DepartmentController,Các API phòng ban,Không test,"Thuộc phạm vi test API/integration vì phụ thuộc request/response HTTP."
5,services/user-service/src/main/java/com/example/user_service/controller/PositionController.java,PositionController,Các API vị trí,Không test,"Thuộc phạm vi test API/integration vì phụ thuộc request/response HTTP."
6,services/user-service/src/main/java/com/example/user_service/controller/EmployeeController.java,EmployeeController,Các API nhân viên,Không test,"Thuộc phạm vi test API/integration vì phụ thuộc request/response HTTP và upload file."
7,services/user-service/src/main/java/com/example/user_service/repository/DepartmentRepository.java,DepartmentRepository,Các hàm query DB,Không test,"Kế thừa Spring Data JPA; được kiểm thử gián tiếp thông qua service."
8,services/user-service/src/main/java/com/example/user_service/repository/PositionRepository.java,PositionRepository,Các hàm query DB,Không test,"Kế thừa Spring Data JPA; được kiểm thử gián tiếp thông qua service."
9,services/user-service/src/main/java/com/example/user_service/repository/EmployeeRepository.java,EmployeeRepository,Các hàm query DB,Không test,"Kế thừa Spring Data JPA; được kiểm thử gián tiếp thông qua service."
10,services/user-service/src/main/java/com/example/user_service/model/Department.java; services/user-service/src/main/java/com/example/user_service/model/Position.java; services/user-service/src/main/java/com/example/user_service/model/Employee.java,Entities,Getter/Setter,Không test,"Là lớp dữ liệu JPA, không có logic rẽ nhánh cần unit test riêng."
11,services/user-service/src/main/java/com/example/user_service/dto/department/*.java; services/user-service/src/main/java/com/example/user_service/dto/position/*.java; services/user-service/src/main/java/com/example/user_service/dto/employee/*.java,DTO Classes,Getter/Setter,Không test,"Chỉ là đối tượng truyền tải dữ liệu giữa các layer."
